RegionID,RegionName,SizeRank,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06
102001,United States,0,1358,1364,1369,1375,1381,1386,1392,1397,1403,1409,1414,1420,1426,1431,1436,1442,1447,1453,1458,1463,1469,1474,1479,1484,1489,1494,1499,1503,1507,1511,1516,1520,1524,1527,1531,1535,1540,1544,1548,1552,1556,1561,1565,1569,1574,1578,1582,1587,1591,1596,1600,1605,1610,1615,1620,1625,1630,1635,1640,1645,1650,1655,1660,1665,1670,1675,1680,1684,1688,1692,1694,1697,1699,1700,1701,1702,1703,1704,1705,1709,1713,1717,1724,1730,1737,1744,1750,1757,1765,1772
394913,"New York, NY",1,2261,2272,2282,2292,2302,2312,2322,2332,2342,2352,2362,2371,2381,2390,2399,2408,2417,2425,2434,2441,2448,2456,2461,2467,2472,2476,2481,2485,2489,2493,2496,2500,2503,2507,2510,2514,2518,2521,2525,2529,2532,2536,2539,2541,2544,2547,2549,2551,2554,2557,2560,2563,2568,2572,2576,2581,2586,2591,2596,2602,2607,2613,2618,2624,2628,2633,2638,2642,2645,2649,2646,2643,2640,2627,2614,2601,2583,2564,2546,2531,2517,2503,2493,2483,2473,2464,2456,2447,2440,2432
753899,"Los Angeles-Long Beach-Anaheim, CA",2,1771,1781,1792,1803,1813,1824,1835,1845,1856,1867,1877,1888,1899,1909,1919,1930,1940,1951,1962,1972,1983,1994,2005,2016,2027,2037,2048,2058,2068,2077,2087,2096,2105,2115,2124,2133,2142,2152,2161,2170,2179,2188,2197,2205,2213,2221,2228,2236,2243,2251,2259,2267,2275,2283,2292,2300,2308,2316,2323,2331,2338,2346,2353,2360,2367,2374,2381,2386,2392,2397,2399,2401,2402,2402,2401,2400,2399,2398,2396,2398,2400,2402,2407,2412,2417,2422,2428,2433,2439,2445
394463,"Chicago, IL",3,1501,1505,1509,1513,1517,1520,1524,1528,1532,1535,1539,1543,1546,1550,1554,1558,1562,1566,1570,1575,1580,1585,1590,1595,1600,1604,1608,1612,1615,1618,1621,1624,1627,1630,1633,1635,1638,1641,1643,1646,1649,1652,1655,1658,1660,1663,1666,1668,1671,1673,1676,1679,1682,1685,1688,1691,1694,1697,1701,1704,1708,1712,1716,1720,1724,1728,1732,1735,1738,1742,1743,1744,1745,1743,1742,1740,1737,1733,1730,1728,1727,1725,1725,1726,1726,1726,1727,1728,1729,1730
394514,"Dallas-Fort Worth, TX",4,1178,1182,1186,1190,1194,1197,1201,1205,1209,1213,1217,1221,1226,1231,1235,1240,1245,1250,1254,1259,1264,1269,1274,1279,1284,1290,1295,1301,1306,1312,1317,1322,1327,1332,1337,1342,1346,1351,1356,1360,1365,1369,1374,1378,1382,1386,1390,1394,1397,1401,1405,1409,1413,1417,1421,1425,1429,1434,1438,1443,1447,1452,1456,1461,1465,1469,1474,1477,1480,1484,1486,1488,1490,1491,1493,1495,1497,1500,1502,1508,1514,1521,1529,1537,1546,1554,1563,1572,1581,1591
394974,"Philadelphia, PA",5,1395,1398,1401,1404,1406,1409,1412,1415,1418,1421,1424,1427,1431,1434,1437,1440,1443,1447,1450,1454,1458,1462,1466,1469,1473,1476,1480,1483,1486,1489,1493,1495,1498,1501,1504,1506,1509,1512,1514,1517,1520,1523,1526,1529,1532,1536,1539,1542,1546,1550,1554,1557,1561,1566,1570,1574,1578,1583,1587,1591,1596,1600,1605,1609,1613,1617,1621,1625,1629,1632,1635,1637,1640,1642,1644,1646,1649,1651,1653,1657,1661,1665,1670,1674,1679,1684,1689,1694,1700,1705
394692,"Houston, TX",6,1191,1197,1204,1211,1218,1225,1231,1238,1244,1251,1256,1261,1267,1270,1274,1278,1281,1284,1287,1289,1292,1294,1295,1297,1298,1298,1299,1299,1298,1298,1298,1297,1296,1295,1295,1295,1295,1296,1297,1298,1301,1304,1307,1312,1316,1320,1324,1328,1332,1336,1339,1343,1345,1348,1350,1352,1353,1355,1357,1359,1361,1363,1365,1367,1369,1371,1373,1374,1376,1378,1378,1378,1379,1379,1378,1378,1378,1378,1378,1381,1383,1385,1389,1393,1397,1401,1406,1410,1414,1419
395209,"Washington, DC",7,1847,1851,1854,1857,1860,1863,1866,1868,1871,1874,1876,1879,1881,1883,1885,1887,1890,1893,1895,1898,1902,1905,1908,1911,1914,1917,1919,1922,1924,1926,1929,1931,1934,1936,1939,1942,1945,1948,1951,1955,1957,1960,1962,1964,1967,1969,1971,1974,1976,1980,1983,1987,1991,1996,2000,2006,2011,2016,2021,2026,2031,2036,2041,2046,2051,2055,2060,2064,2067,2071,2071,2071,2072,2069,2066,2063,2057,2052,2047,2043,2040,2036,2035,2034,2033,2032,2031,2030,2030,2029
394856,"Miami-Fort Lauderdale, FL",8,1655,1663,1672,1680,1688,1696,1705,1713,1721,1729,1738,1746,1755,1763,1771,1780,1788,1797,1805,1813,1821,1830,1836,1843,1850,1855,1860,1865,1869,1872,1876,1879,1881,1884,1887,1890,1893,1897,1900,1904,1908,1912,1916,1920,1924,1928,1932,1937,1941,1945,1950,1955,1959,1964,1969,1974,1979,1983,1988,1992,1996,2000,2005,2009,2013,2018,2023,2027,2032,2036,2040,2043,2046,2049,2052,2055,2059,2064,2068,2080,2091,2103,2119,2135,2151,2168,2185,2202,2221,2239
394347,"Atlanta, GA",9,1108,1112,1116,1120,1124,1128,1132,1136,1140,1144,1149,1154,1159,1164,1169,1174,1179,1184,1189,1195,1200,1205,1211,1217,1222,1228,1235,1241,1247,1253,1259,1265,1271,1277,1282,1288,1294,1300,1305,1311,1317,1323,1329,1335,1342,1348,1354,1360,1366,1373,1379,1385,1392,1399,1406,1414,1421,1428,1435,1442,1449,1456,1462,1469,1475,1481,1486,1491,1496,1501,1505,1508,1512,1517,1521,1526,1532,1539,1546,1558,1570,1582,1597,1612,1627,1642,1657,1673,1689,1705
