RegionID,RegionName,SizeRank,MsaName,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06
61639,10025,1,"New York, NY",2923,2849,2932,2955,2946,2957,3007,3033,3013,3046,3043,3079,3097,3079,3079,3083,3102,3127,3138,3140,3151,3154,3136,3137,3155,3140,3165,3169,3169,3191,3121,3164,3200,3162,3140,3127,3135,3116,3079,3131,3197,3197,3202,3213,3183,3146,3134,3170,3125,3115,3102,3158,3193,3197,3215,3208,3196,3195,3196,3210,3222,3204,3204,3220,3246,3278,3300,3325,3320,3249,3278,3255,3275,3305,3255,3254,3225,3156,3095,2988,2867,2845,2808,2778,2813,2784,2848,2908,2992,3056
84654,60657,2,"Chicago, IL",1464,1500,1499,1508,1527,1563,1563,1564,1550,1540,1534,1536,1534,1546,1539,1568,1595,1616,1623,1632,1600,1588,1582,1589,1578,1596,1618,1637,1654,1668,1676,1678,1664,1638,1620,1618,1634,1655,1675,1682,1691,1702,1708,1698,1684,1665,1654,1644,1657,1674,1688,1703,1716,1724,1723,1703,1692,1661,1641,1636,1669,1685,1706,1728,1740,1749,1758,1741,1740,1713,1703,1695,1735,1750,1756,1760,1752,1742,1736,1728,1679,1644,1645,1660,1677,1692,1696,1699,1717,1724
61637,10023,3,"New York, NY",2908,2928,2964,2955,2973,3032,3021,3025,3024,3005,3073,3029,3008,3029,3060,3034,3050,3074,3070,3094,3102,3107,3107,3091,3063,3097,3111,3121,3130,3125,3118,3109,3101,3110,3048,3046,3025,3071,3077,3131,3124,3144,3143,3123,3096,3094,3074,3042,3058,3076,3094,3118,3142,3138,3111,3136,3146,3130,3109,3082,3079,3092,3116,3156,3180,3210,3213,3204,3216,3149,3105,3129,3179,3202,3213,3202,3147,3107,3035,2902,2865,2790,2706,2667,2696,2739,2770,2843,2892,2981
91982,77494,4,"Houston, TX",1317,1375,1381,1389,1364,1353,1357,1351,1349,1331,1329,1322,1329,1321,1326,1333,1336,1343,1348,1359,1342,1330,1326,1310,1306,1302,1304,1301,1299,1305,1297,1296,1285,1275,1249,1247,1254,1265,1270,1285,1288,1292,1283,1272,1283,1293,1299,1304,1311,1313,1308,1313,1313,1318,1315,1312,1300,1304,1307,1311,1311,1313,1319,1323,1322,1329,1333,1344,1323,1331,1330,1338,1333,1343,1339,1345,1335,1336,1341,1348,1356,1344,1361,1361,1357,1358,1363,1386,1415,1471
84616,60614,5,"Chicago, IL",1736,1764,1775,1789,1811,1829,1851,1848,1829,1817,1821,1790,1791,1805,1791,1843,1875,1904,1918,1932,1915,1913,1878,1854,1888,1912,1921,1937,1972,1995,1996,1995,1984,1936,1916,1910,1907,1946,1966,1996,2011,2015,2014,2017,2009,1970,1954,1952,1964,1993,2026,2023,2041,2050,2048,2038,2015,1977,1961,1968,2005,2032,2047,2070,2090,2090,2090,2095,2091,2068,2040,2061,2056,2085,2104,2129,2124,2108,2093,2066,2021,1963,1887,1863,1907,1969,2013,2066,2092,2113
91940,77449,6,"Houston, TX",1181,1177,1179,1171,1179,1192,1203,1213,1208,1211,1222,1226,1212,1214,1218,1229,1232,1245,1255,1258,1258,1258,1258,1257,1249,1250,1261,1264,1269,1261,1260,1264,1261,1263,1256,1245,1244,1250,1256,1260,1263,1260,1271,1270,1279,1282,1287,1289,1295,1300,1301,1310,1314,1319,1326,1326,1319,1322,1326,1317,1313,1318,1321,1324,1331,1337,1344,1339,1342,1340,1337,1337,1344,1343,1355,1362,1350,1367,1379,1386,1394,1399,1407,1428,1427,1447,1461,1480,1510,1546
61616,10002,7,"New York, NY",2757,2659,2722,2745,2784,2791,2841,2849,2858,2833,2842,2914,2899,2870,2887,2962,2962,2960,2991,3008,3000,2975,2932,2941,2930,2951,2972,2983,3008,3048,3073,3078,3062,3078,3021,3065,3014,3046,3047,3042,3065,3073,3083,3088,3068,3027,2996,2992,3020,3052,3075,3103,3116,3128,3156,3159,3138,3119,3089,3095,3078,3094,3106,3142,3174,3203,3217,3244,3265,3242,3182,3189,3194,3238,3260,3251,3197,3124,3042,2919,2777,2667,2627,2606,2602,2621,2660,2765,2884,2971
91733,77084,8,"Houston, TX",1021,1095,1097,1085,1100,1121,1090,1116,1134,1136,1147,1136,1132,1138,1150,1155,1150,1156,1160,1168,1177,1170,1178,1173,1169,1172,1171,1173,1176,1170,1173,1181,1171,1169,1170,1169,1168,1162,1170,1178,1180,1184,1189,1187,1215,1225,1224,1213,1213,1215,1204,1222,1223,1227,1226,1231,1259,1244,1254,1246,1239,1225,1247,1254,1268,1263,1267,1264,1255,1261,1257,1266,1263,1280,1284,1286,1284,1286,1287,1298,1311,1282,1294,1307,1320,1320,1335,1345,1365,1398
93144,79936,9,"El Paso, TX",954,942,947,957,953,951,906,926,936,938,935,945,943,945,948,949,958,953,945,946,952,952,950,946,944,960,955,955,953,954,947,963,950,951,976,1030,1022,983,966,960,960,958,962,958,960,957,958,959,954,953,952,956,962,967,970,970,974,948,964,980,975,954,966,975,985,987,968,990,994,1002,996,1006,1011,1015,1008,1016,1016,1020,1032,1049,1044,1057,1056,1065,1058,1065,1073,1090,1103,1096
84640,60640,10,"Chicago, IL",1235,1248,1236,1233,1241,1249,1257,1266,1259,1254,1249,1264,1254,1256,1236,1260,1277,1294,1314,1323,1322,1308,1310,1315,1312,1302,1311,1328,1331,1344,1355,1370,1366,1357,1337,1340,1332,1339,1360,1366,1377,1386,1387,1386,1380,1370,1364,1357,1360,1363,1386,1394,1398,1410,1409,1401,1421,1404,1404,1397,1399,1404,1411,1423,1427,1435,1448,1445,1451,1433,1432,1425,1424,1443,1422,1428,1443,1443,1426,1432,1418,1400,1408,1395,1394,1366,1379,1392,1408,1431
